,title,salary,jobtype,location,description,company
110,Senior Data Scientist,,100% Remote Job,"San Francisco, CA","
            Remote position will own analytical frameworks, design experience, interpret results to draw conclusions, develop models to extract trends, measure results, and present findings to influence leadership. Need five years of experience. 
        ",
111,Data Scientist,,Partial Remote Job,"London, United Kingdom","
            Build trusted relationships with prospects, discover creative methods to use <b>data</b> <b>science</b> and resolve problems, scope projects, and provide quality advice to C-suite clients on <b>data</b> strategies. Full-time partial remote position.
        ",
112,Data Scientist,,100% Remote Job,"Toronto, ON, Canada","
            The remote <b>data</b> scientist will make measurement plans for <b>data</b> product launches, analyze learner behavior, evaluate the success of key initiatives, &amp; estimate project impact. Must have computer <b>science</b>, statistics, applied math, or related technical exp.
        ",
113,Data Scientist,,Option for Remote Job,"Austin, TX","
<b>Data</b> scientist needed for a full-time, remote option position responsible for conducting research, writing code, generating and developing designs, and generally working with <b>data</b>. Three+ years' experience, computer <b>science</b> degree required.
        ",
114,Data Scientist,,100% Remote Job,US National,"
            Help the company's efforts in both business-facing <b>data</b> <b>science</b> and machine learning engineering. Must have a master's degree and experience with classification and regression techniques. Full-time, remote position.
        ",
115,Leader - Expert Analytical Sciences - Gene and Cell Therapy,,Partial Remote Job,US National,"
            Full-time, partially remote position. Responsibilities include developing quality control concepts, creating a specific lab operation vision, finalizing approaches for various products, and contributing to position papers that address quality control.
        ",
116,Data Scientest - Climate Analytics,,Partial Remote Job,"Brussels, Belgium","
            Partial remote position will provide insights to clients, solve specific business problems on client projects, develop new or improve upon existing products, and conduct analyses/generate insights. Graduate degree required and modeling experience. 
        ",
117,"Principal, Strategic Data Scientist",,100% Remote Job,US National,"
            Remote job for candidate who will establish and maintain key partner stakeholder relationships, advise pharmaceutical partners on the use of <b>data</b> and technology, and receive and answer client business requirements. Client facing exp. and BA/BS degree req.
        ",
118,Data Scientist,,100% Remote Job,United Kingdom,"
            F/T remote <b>data</b> scientist needed to help build machine learning infrastructure and roll <b>data</b> <b>science</b> outputs into production. Experience working as a <b>data</b> scientist or ML engineer, Python experience, and team communication/collaboration skills required.
        ",
119,Data Scientist,,100% Remote Job,"San Jose, CA, Hillsboro, OR, Asheville, NC, ME, NH, MA, RI, CT, NY, NJ, DE, MD, VA, NC, SC, GA, FL","
            Remote role. Build &amp; maintain machine learning products, maintain <b>data</b> pathways, test algorithms and provide reports to stakeholders, and create performance metrics for instruments. Requires BA &amp; 4 years' <b>data</b> <b>science</b> experience, plus Python proficiency.
        ",
120,Family and Consumer Sciences Teacher,,100% Remote Job,IA,"
            Virtually teach students, participate in monthly <b>data</b> analysis meetings, offer targeted and rich feedback, and adhere to state and client-specific procedures and policies. At least six months of experience is needed. Remote part-time contract position.
        ",
121,Data Engineer - Big Data,,Option for Remote Job,US National,"
            The <b>data</b> engineer will create <b>data</b> platform &amp; analytical solutions. A WFH option is available for this job. Must have exp. with SQL, ETL, Big <b>Data</b> technologies, &amp; scripting languages. Knowledge of <b>data</b> management, <b>data</b> storage, &amp; distributed systems req.
        ",
122,Data Mentor,,100% Remote Job,US National,"
            Coach and instruct fellows who are interested in getting a job in various <b>data</b> roles. Must have 3+ years of experience in <b>data</b> <b>science</b>, the tech industry or in a related field. Work flexible hours, 5-10 per week.
        ",
123,"Data Scientist, Product Analytics",,Option for Remote Job,US National,"
            Remote position will measure/report on core product/feature metrics, perform in-depth analyses of product <b>data</b> to inform/guide product direction, design/analyze experiments, and design surveys/provide insights. BA degree required and four years of exp.
        ",
124,Data Engineer,,Flexible Schedule Job,"Denver, CO","
<b>Data</b> engineer needed for a full-time, flexible job responsible for building <b>data</b> models and solutions, overseeing communications, supporting projects. Travel, two+ years'data analytics solutions development, computer <b>science</b> or related degree required.
        ",
125,Data Engineer,,100% Remote Job,US National,"
            Assist with maintaining all facets for an analytics platform, offer troubleshooting support, and identify new opportunities for refinement while assisting with building innovative analytics tools used for <b>data</b> <b>science</b> and dashboarding. Remote.
        ",
